,Entity,mortality_rate,agriculture_land,hapiness_rate,literacy_rate,maternal_mortality,life_expectancy,birth_rate,terrorist_incidents,health_expenses,inflation_rate,basic_sanitation,gdp,population_density
137,Palestine,2.2086999893188484,49.32226136673321,4.695239067,96.668037,45.0,73.29900400000001,32.128,246.0,,1.4316114581047,95.95164871147541,12673000000.0,734.575249169435
138,Panama,1.872599983215332,30.3605057842346,6.605550289,95.03823100000001,94.0,77.806,19.846,0.0,6.79468654,0.132255449498263,76.8670403816548,54091713775.5634,53.3931799838579
139,Papua New Guinea,6.044800186157228,2.6277436735414903,,63.433491000000004,215.0,65.384003,27.933000000000003,0.0,2.50788426,5.99595778127105,18.604170204172,20638636035.255,17.488462217904
140,Paraguay,3.3935001373291023,55.0843191542915,5.559724331,95.53611,132.0,73.023003,21.146,19.0,7.81978742,3.12900274473923,91.22222482327629,36164068797.2511,16.7105940095646
141,Peru,2.6794000625610352,18.2296875,5.577263355,94.374352,68.0,74.747002,19.615,10.0,5.12107095,3.54928804947929,76.81552520419909,189926516769.25,24.51302421875
142,Philippines,2.726099967956543,41.7211657779119,5.547489166,96.618027,114.0,68.95099599999999,23.447,721.0,4.32136857,0.6741925368454119,74.9769045018806,292774099013.687,341.13545628332804
143,Poland,0.4939000129699707,46.9349096965936,6.007021904,99.78742199999999,3.0,77.44899699999999,9.7,0.0,6.34338904,-0.8741258741258492,98.132712948205,476970902628.57794,124.061569613639
145,Portugal,0.2795000076293945,40.334652642692795,5.080866337,95.428108,10.0,81.028999,8.3,0.0,8.97184486,0.487938623904736,99.44214276948351,199420256049.689,113.072025849835
147,Qatar,0.8065999984741211,5.839793544509719,6.3745293620000005,97.757088,13.0,78.03600300000001,10.312999999999999,1.0,3.09957023,1.61018520758248,100.0,161739835164.835,213.741515934539
149,Romania,0.9413999557495116,60.231223922114104,5.777491092999999,98.75702700000001,31.0,75.29699699999999,10.2,0.0,4.94411454,-0.5941564374951371,81.8127185852255,177893451831.14102,86.1243089360223
150,Russia,0.930500030517578,13.2944703414022,5.995538712,99.719566,25.0,70.918999,13.3,21.0,5.27700319,15.534395993570099,88.7866980173266,1363705265460.57,8.79880404497318
151,Rwanda,5.5747001647949235,73.4373713486777,3.483108997,71.2435,290.0,66.695999,31.785999999999998,0.0,6.51938268,2.52850284192422,62.347825035945995,8277613193.576309,471.404661532225
154,Samoa,2.010300064086914,12.3674911660777,,99.015007,51.0,74.769997,25.118000000000002,0.0,5.67470959,0.724980678141104,96.620106950094,804100582.465624,68.4660777385159
155,Sao Tome and Principe,6.102199935913086,50.72916746139529,,91.747108,156.0,66.487999,34.326,0.0,5.349901999999999,5.24587835022457,40.1027696760886,315521531.954768,203.70104166666698
156,Saudi Arabia,1.404399967193604,80.77230030841659,6.3454918860000005,94.84236899999999,12.0,74.400002,19.921,103.0,5.99834034,1.2226931855233,100.0,654269902880.0,14.679858026041
157,Senegal,4.772900009155274,46.0603542305095,4.61700058,55.624851,315.0,66.783997,36.208,2.0,5.58568729,0.1352119336352,48.3581363309709,17767620058.8554,77.7904430478367
158,Serbia,1.0614000320434571,39.658129430596794,5.317685127,98.002892,17.0,,9.3,0.0,9.40507907,1.39235822000187,94.64288939243971,37160332465.1645,81.12717813857759
160,Sierra Leone,12.204900360107422,54.71044610695479,4.908617973,48.4319,1360.0,51.423,35.611,0.0,20.4146101,6.69367927894743,14.535885012615099,4218723875.1379,100.26357716819099
161,Singapore,0.2426000118255615,0.9308885924144019,6.619524956,96.774628,10.0,82.84899899999999,9.7,0.0,4.18938631,-0.522752485199641,100.0,304097759674.134,7806.77291960508
162,Slovakia,0.639300012588501,39.2787300625945,6.162004471,,6.0,76.71399699999999,10.3,0.0,6.86754028,-0.325219777427739,98.92817620268292,87769595120.4718,112.803148787488
163,Slovenia,0.2888999938964844,30.606276610044304,5.740642071,99.71476,9.0,80.797997,10.0,0.0,8.50174063,-0.5255522858208379,99.10727079145849,43072415017.4321,102.45933465739799
166,South Africa,4.082799911499023,79.83002085583101,4.887325764,94.597939,138.0,61.980999,21.296999999999997,5.0,8.19779026,4.50920827795706,73.1288243746002,317536830640.61896,45.5788317437288
167,South Korea,0.33110001087188723,17.815177792601,5.780211448999999,,11.0,81.92400400000001,8.6,1.0,7.04921624,0.7062081698592141,99.8875371411673,1382764027113.82,523.337576938859
169,Spain,0.3142999887466431,53.189060520874996,6.380663395,98.11451,5.0,82.983002,9.0,1.0,9.12012883,-0.500461321406559,99.904360213099,1199084183705.08,92.84621197279671
170,Sri Lanka,0.8703000068664551,43.6931908786477,4.611606598,92.614166,30.0,75.087997,15.6,11.0,3.88992047,3.7683678306209396,94.20667369158708,80604080688.7961,334.332642321799
172,Suriname,2.156900024414063,0.5576923076923079,,95.538986,155.0,71.278999,18.448,0.0,6.70557138,6.8675992438563505,79.21919842685409,4767414747.88691,3.54620512820513
173,Swaziland,6.384799957275392,71.046511627907,,87.470192,389.0,57.106998,29.27,0.0,7.772142999999999,4.95235614857309,58.0258356936934,4020275298.0272603,76.6866860465116
174,Sweden,0.2588000059127808,7.463111754752231,7.28892231,,4.0,82.29900400000001,11.7,32.0,11.00812884,-0.0467847449832651,99.3035336149085,498117638852.89703,24.058299575262104
175,Switzerland,0.4090000152587891,38.438354493710996,7.572136878999999,,5.0,83.139,10.5,0.0,11.89380635,-1.14390064437645,99.89104202907221,679832291693.2571,209.596011742079
178,Tajikistan,4.513800048828125,34.1379061892067,5.124210835,99.781052,32.0,70.878998,29.337,3.0,6.85367879,5.71455949649708,95.4921415082503,7854602391.65355,61.595917455651104
179,Tanzania,5.824499893188478,44.76179724542789,3.660597324,80.35949699999999,398.0,64.949997,38.64,14.0,3.78969995,5.58816952959301,23.5340659681287,47378599025.2894,60.8263230977647
180,Thailand,1.1895000457763671,43.277417839456604,6.201762676,93.983017,20.0,75.102997,10.582,278.0,3.6669476000000003,-0.9004249632915691,95.0112971742745,401399422442.96704,134.388224471021
181,Timor,4.965100097656252,25.5548083389375,,64.066139,215.0,68.569,35.504,0.0,3.49424362,0.552796026277845,44.011055964692794,3104400000.0,83.45507733692
182,Togo,7.941000366210938,70.2334988049274,3.768301964,66.53759000000001,368.0,59.949001,34.532,0.0,6.24938169,2.5850039080159504,13.948482308155599,4179185205.1612206,136.363338849053
183,Tonga,2.3639999389648443,45.8333333333333,,99.397858,124.0,72.879997,24.406,0.0,4.66809287,-1.05399831971284,93.4675640563709,435438217.281663,147.727777777778
184,Trinidad and Tobago,2.9646999359130866,10.5263157894737,,98.96958199999999,63.0,70.556,13.956,1.0,6.21744691,4.66121598098263,92.1465186816669,24401734194.6814,265.12514619883
185,Tunisia,1.8794000625610352,64.836508753862,5.131611824,81.054192,62.0,75.525002,18.647000000000002,17.0,7.00675038,4.8571822823237305,93.12782840139,43152528548.124,72.56475926879509
186,Turkey,1.6448999404907232,50.0838065044242,5.514465332,95.688103,16.0,75.498001,16.533,422.0,4.13853307,7.670853648458801,96.3726935097639,859796691176.471,101.700131231891
